Technology,Description
FTRABUPPP,FTR truck petroleum products
FTRNAVPPP,FTR navigation petroleum products
FTRRAICOA,FTR rail coal
FTRRAIELC,FTR rail electricity
FTRRAIPPP,FTR rail petroleum products
GSFR,Gasifier
HETREBIO,Heat plants biomass
HETRECOA,Heat plants coal
HETRECOP,Heat plants coal products
HETRENGS,Heat plants ngs
HETREOIL,Heat plants oil
HETREPPP,Heat plants petroleum products
IMMBIO,Ind IMM biomass
IMMCOA,Ind IMM coal
IMMCOP,Ind IMM coal products
IMMELC,Ind IMM electricity
IMMHET,Ind IMM heat
IMMNGS,Ind IMM ngs
IMPCOA,Import coal steam
IMPCOK,Import cooking coal industry
IMPELC,Import Electricity
IMPPP,Ind IMM petroleum products
IOMBIO,Ind IOM biomass
IOMCOA,Ind IOM coal
IOMCOP,Ind IOM coal products
IOMELC,Ind IOM electricity
IOMHET,Ind IOM heat
IOMNGS,Ind IOM ngs
IOMPPP,Ind IOM petroleum products
ISTBFBOF,Blast Furnace-Basic Oxygen Fur.
ISTCCSBF,Blast Furnace-Basic Oxygen Fur.
ISTDRIH2,Direct Reduced Iron H2
ISTDRINGS,Direct Reduced Iron using NGS
ISTEAF,Electric arc furnace
ISTELCH2,Electrolyser
MINBID,Mining Biodiesel
MINBIO,Mining bio
MINCOA,Mining coal
MINCOP,Coal products
MINIOR,Mining iron ore
MINLPG,Mining lpg
MINNGS,Mining ngs
MINNUC,Nuclear fuel
MINPPP,Mining petroleum petroducts
MINSCR,Mining metal scrap
MTHPLANT,Syngas_Methanation Plant
PEMH2,PEM electrolyser
PTRABUBID,PTR buses-auto biodiesel
PTRABUNGS,PTR buses-auto ngs
PTRABUPPP,PTR buses-auto petroleum prod
PTRNAVPPP,PTR navigation petroleum prod
PTRRAICOA,PTR rail coal
PTRRAIELC,PTR rail electricity
PTRRAIPPP,PTR rail petroleum prod
RC1ELC001,Cooling electric urban
RC2ELC001,Cooling electric rural
RK1BIO001,Stove bio urban
RK1COA001,Stove coal urban
RK1ELC001,Stove electricity urban
RK1LPG001,Stove lpg urban
RK1NGS001,Stove ngs urban
RK2BIO001,Stove bio rural
RK2COA001,Stove coal rural
RK2ELC001,Stove electricity rural
RK2LPG001,Stove lpg rural
RK2NGS001,Stove ngs rural
RL1ELC001,Residential - Lighting urban - Ele.
RL2ELC001,Residential - Lighting rural - Elect.
RO1BIO001,Residential-Heating urban - bio
RO1COA001,Residential-Heating urban - Coal
RO1ELC001,Residential-Heating urban - Elect.
RO1HET001,Residential-Heating urban - Heat
RO1NGS001,Residential-Heating urban - NGS
RO1OIP001,Residential-Heating urban - LPG
RO2BIO001,Residential-Heating rural - BIO
RO2COA001,Residential-Heating rural -Coal
RO2ELC001,Residential-Heating rural - ELC
RO2HET001,Residential-Heating rural - Heat
RO2NGS001,Residential-Heating rural - NGS
RO2OIP001,Residential-Heating rural -LPG
T_D,T&D
